=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-9-23_3-15-1
====================================================================================
3:15:1 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
3:18:11 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5447.451172, 24.930075, 10679.049805>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5449.680176, 24.435081, 10678.601563>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5451.756836, 24.026985, 10678.174805>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5453.290039, 23.732563, 10677.861328>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5457.365234, 22.811983, 10677.054688>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5459.193848, 22.482801, 10676.704102>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5460.403320, 22.265083, 10676.476563>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5461.244141, 22.116329, 10676.283203>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5461.089355, 22.143206, 10676.265625>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5460.940918, 22.170799, 10676.250977>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5460.834473, 22.190580, 10676.236328>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5473.476563, 20.333584, 10673.747070>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5488.912109, 18.237764, 10670.781250>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5488.977539, 18.230663, 10670.769531>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5489.041992, 18.223572, 10670.758789>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5489.108398, 18.216413, 10670.747070>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5489.175293, 18.209044, 10670.734375>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5489.274414, 18.198742, 10670.720703>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5489.415039, 18.184149, 10670.703125>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5489.556641, 18.169239, 10670.683594>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5489.698242, 18.154806, 10670.666992>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5489.823242, 18.141642, 10670.650391>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5491.844238, 17.918699, 10670.271484>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5494.524902, 17.657776, 10669.764648>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5496.551270, 17.457626, 10669.380859>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5499.249512, 17.190886, 10668.867188>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5500.704590, 17.079094, 10668.588867>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5501.108398, 17.056215, 10668.516602>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5501.234863, 17.049065, 10668.496094>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5501.325684, 17.043961, 10668.481445>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5501.453613, 17.036848, 10668.460938>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5501.608887, 17.028097, 10668.436523>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5502.028320, 17.004650, 10668.371094>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5502.447754, 16.981232, 10668.306641>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5502.867188, 16.957756, 10668.241211>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5503.286621, 16.934286, 10668.175781>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5504.100586, 16.888231, 10668.030273>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5505.700195, 16.797049, 10667.725586>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5507.503418, 16.698315, 10667.382813>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5508.901855, 16.613245, 10667.116211>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5510.304688, 16.526882, 10666.848633>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5511.462891, 16.455856, 10666.640625>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5511.772949, 16.437065, 10666.596680>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5512.038574, 16.421003, 10666.559570>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5512.304688, 16.404907, 10666.522461>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5512.601074, 16.389254, 10666.481445>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5513.472656, 16.355360, 10666.327148>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5514.297363, 16.323179, 10666.175781>)
3:18:12 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5515.400879, 16.279560, 10665.975586>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5516.523926, 16.231358, 10665.769531>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5517.359375, 16.195494, 10665.618164>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5518.076660, 16.164736, 10665.487305>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5518.962402, 16.139666, 10665.327148>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5519.502930, 16.149342, 10665.228516>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5520.132813, 16.160603, 10665.114258>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5520.895996, 16.174267, 10664.976563>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5521.341309, 16.182299, 10664.900391>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5521.786621, 16.190331, 10664.823242>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5522.306152, 16.199711, 10664.733398>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5522.751465, 16.207735, 10664.657227>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5523.452637, 16.221895, 10664.533203>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5524.378418, 16.240868, 10664.362305>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5525.195313, 16.255987, 10664.211914>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5525.912109, 16.264896, 10664.079102>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5526.629395, 16.273857, 10663.947266>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5527.088379, 16.279556, 10663.862305>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5527.122070, 16.279968, 10663.855469>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5527.151855, 16.280273, 10663.847656>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5527.185547, 16.280714, 10663.840820>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5527.214844, 16.281004, 10663.833008>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5527.725586, 16.287477, 10663.743164>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5528.422852, 16.296213, 10663.619141>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5529.319336, 16.307522, 10663.459961>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5530.016602, 16.316315, 10663.336914>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5530.624512, 16.323500, 10663.228516>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5531.312988, 16.329144, 10663.100586>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5532.009766, 16.332863, 10662.970703>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5532.823730, 16.337179, 10662.820313>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5533.636719, 16.341558, 10662.668945>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5534.419434, 16.345711, 10662.522461>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5534.577148, 16.345659, 10662.492188>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5534.796387, 16.342024, 10662.450195>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5534.918945, 16.339897, 10662.426758>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5535.088867, 16.336992, 10662.393555>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5535.456543, 16.331087, 10662.327148>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5536.312012, 16.317686, 10662.172852>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5537.167480, 16.304359, 10662.018555>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5537.887207, 16.322195, 10661.889648>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5538.536621, 16.330109, 10661.773438>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5539.487793, 16.309349, 10661.599609>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5540.259277, 16.292439, 10661.456055>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5541.251465, 16.270649, 10661.271484>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5541.912598, 16.256081, 10661.146484>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5542.463867, 16.244003, 10661.044922>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5543.098633, 16.230085, 10660.926758>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5543.646484, 16.218102, 10660.826172>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5544.196777, 16.221825, 10660.726563>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5544.665039, 16.228045, 10660.639648>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5545.066406, 16.233414, 10660.566406>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5545.905762, 16.243162, 10660.412109>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5546.963867, 16.239305, 10660.218750>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5547.552246, 16.237162, 10660.110352>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5548.258301, 16.234573, 10659.981445>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5549.058594, 16.231657, 10659.834961>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5549.630371, 16.229565, 10659.729492>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5550.202148, 16.227789, 10659.624023>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5550.770996, 16.226601, 10659.517578>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5551.501953, 16.225092, 10659.383789>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5552.028320, 16.223703, 10659.258789>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5552.772461, 16.221424, 10659.055664>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5553.330566, 16.219727, 10658.903320>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5553.989258, 16.215998, 10658.725586>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5554.562012, 16.210941, 10658.573242>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5555.115234, 16.205759, 10658.334961>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5555.656250, 16.200403, 10658.021484>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5556.201172, 16.195107, 10657.716797>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5556.827148, 16.187183, 10657.385742>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5557.480469, 16.178768, 10657.047852>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5558.339355, 16.167765, 10656.605469>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5559.142578, 16.144970, 10656.198242>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5559.951172, 16.035936, 10655.792969>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5561.190918, 15.851235, 10655.100586>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5561.237305, 15.782566, 10654.823242>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5561.274414, 15.704337, 10654.507813>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5561.284668, 15.653663, 10654.301758>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5561.291992, 15.592646, 10654.054688>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5562.021484, 15.409682, 10653.345703>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5562.885742, 15.248306, 10652.517578>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5563.613770, 15.151289, 10651.753906>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5564.172363, 15.073258, 10651.154297>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5564.742676, 15.017925, 10650.641602>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5565.344238, 15.002583, 10650.274414>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5566.100586, 14.955749, 10649.792969>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5566.657715, 14.890789, 10649.414063>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5567.438965, 14.798934, 10648.881836>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5568.070801, 14.674850, 10648.309570>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5568.603516, 14.493208, 10647.611328>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5568.928223, 14.389391, 10647.163086>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5569.263672, 14.286990, 10646.680664>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5569.695313, 14.155570, 10646.060547>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5570.187012, 14.106487, 10645.636719>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5570.872070, 14.038737, 10645.046875>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5571.559082, 13.970546, 10644.456055>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5572.245605, 13.902453, 10643.865234>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5572.912109, 13.843179, 10643.293945>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5573.348145, 13.798345, 10642.902344>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5573.887695, 13.744205, 10642.416992>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5574.190430, 13.712775, 10642.143555>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5574.551270, 13.675981, 10641.818359>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5575.104004, 13.602461, 10641.311523>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5576.088379, 13.353760, 10640.377930>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5577.220215, 13.071424, 10639.315430>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5578.220703, 12.824586, 10638.383789>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5578.365234, 12.956855, 10638.257813>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5578.433594, 13.144741, 10638.378906>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5578.550293, 13.409903, 10638.591797>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5578.625488, 13.592346, 10638.712891>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5578.699707, 13.727151, 10638.775391>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5579.382324, 13.708845, 10638.400391>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5579.696289, 13.793721, 10638.209961>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5579.689453, 13.939333, 10638.092773>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5579.659668, 14.022579, 10637.973633>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5579.602051, 14.097241, 10637.825195>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5579.522949, 14.161889, 10637.646484>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5579.973633, 14.286902, 10637.463867>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5579.187500, 14.739944, 10638.016602>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5579.390625, 14.937836, 10638.035156>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5580.391602, 14.908955, 10637.639648>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5590.961426, 12.645535, 10632.592773>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5591.764648, 12.655761, 10632.171875>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5592.353516, 12.655408, 10631.834961>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5593.057129, 12.656952, 10631.438477>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5593.783691, 12.659204, 10631.040039>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5594.297363, 12.717714, 10630.758789>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5595.164551, 12.778842, 10630.444336>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5595.915039, 12.831960, 10630.173828>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5596.870605, 12.899349, 10629.828125>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5597.499512, 12.944096, 10629.603516>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5597.839844, 12.966736, 10629.467773>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5597.920410, 12.970493, 10629.420898>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5597.989258, 12.973722, 10629.379883>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5598.057129, 12.976864, 10629.338867>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5598.125488, 12.979847, 10629.297852>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5598.532715, 12.994696, 10629.018555>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5599.193848, 13.018316, 10628.560547>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5599.760254, 13.038190, 10628.166016>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5600.767090, 13.010530, 10627.505859>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5601.597168, 12.970465, 10626.962891>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5602.922363, 12.922478, 10626.247070>)
3:18:13 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5604.355957, 12.874521, 10625.511719>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5605.442871, 12.836767, 10624.941406>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5606.895020, 12.759343, 10624.164063>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5609.072266, 12.542932, 10622.944336>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5609.850098, 12.453489, 10622.326172>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5610.770508, 12.347069, 10621.580078>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5611.708984, 12.237909, 10620.801758>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5612.517578, 12.143967, 10620.115234>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5613.349121, 12.084511, 10619.359375>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5614.789551, 11.975551, 10618.299805>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5617.406738, 11.738144, 10616.369141>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5619.026855, 11.594812, 10615.150391>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5620.229980, 11.505919, 10614.223633>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5621.116211, 11.445827, 10613.613281>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5622.632813, 11.347580, 10612.629883>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5623.521973, 11.305431, 10612.062500>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5624.523438, 11.263039, 10611.427734>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5625.268066, 11.247911, 10610.967773>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5626.040527, 11.253153, 10610.291992>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5626.810059, 11.256066, 10609.564453>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5627.489258, 11.259111, 10608.931641>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5628.170410, 11.262569, 10608.305664>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5628.658691, 11.265184, 10607.862305>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5629.319336, 11.275288, 10607.419922>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5630.244629, 11.289575, 10606.802734>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5631.286133, 11.309548, 10606.112305>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5631.987793, 11.339636, 10605.654297>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5632.933105, 11.374410, 10605.024414>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5633.866211, 11.413424, 10604.208008>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5634.331055, 11.432861, 10603.799805>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5634.796875, 11.452332, 10603.392578>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5635.354004, 11.475644, 10602.904297>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5636.009277, 11.502928, 10602.334961>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5636.880371, 11.535452, 10601.733398>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5637.707520, 11.575046, 10601.165039>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5638.163574, 11.610885, 10600.857422>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5638.801270, 11.661077, 10600.423828>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5639.266602, 11.697659, 10600.107422>)
3:18:14 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5639.297852, 11.700170, 10600.084961>)
