=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-9-22_23-9-13
====================================================================================
23:9:13 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
23:11:41 | Player "PhattSausage" (steamId=76561198063550007) connected to server!
23:12:30 | Player "PhattSausage" (steamId=76561198063550007) connected to server!
23:13:36 | "PhattSausage" (steamid=76561198063550007) gave godmode to (steamid=76561198063550007)
23:13:37 | "PhattSausage" (steamid=76561198063550007) gave unlimited ammo to (steamid=76561198063550007)
23:13:41 | [WeatherManager] Send Data Count is 0
23:13:47 | [Time Manager] Setting Date to 2011/12/13 12:36
23:15:32 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4862.781738, 13.130930, 10896.225586>)
23:15:33 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4868.225098, 13.070185, 10906.657227>)
23:15:33 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4873.586426, 12.983888, 10916.904297>)
23:15:33 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4879.191406, 12.728303, 10927.642578>)
23:15:57 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<4591.231934, 1006.295898, 10539.625000>)
23:16:8 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<5593.437012, 120.203888, 10788.840820>)
23:16:24 | "76561198063550007" (steamid=76561198063550007) teleported to (pos=<6689.990234, 15.000000, 11178.000000>)
23:16:24 | "PhattSausage": (steamid=76561198063550007) teleported to (pos=6689.99,0,11178)
23:16:49 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<6720.645996, 14.993929, 11220.093750>)
23:16:49 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<6728.549805, 14.995020, 11235.945313>)
23:16:50 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<6736.782715, 14.999990, 11252.113281>)
23:16:50 | "PhattSausage" (steamid=76561198063550007) teleported to crosshair (pos=<6744.542480, 15.000000, 11267.305664>)
23:17:7 | Player "PhattSausage" (steamId=76561198063550007) disconnected from server.
23:17:11 | Player "PhattSausage" (steamId=76561198063550007) disconnected from server.
